Frames,TOTAL
1,-24.96
5,-43.13
9,-38.08
13,-40.37
17,-47.53
21,-41.11
25,-37.34
29,-28.42
33,-39.54
37,-30.41
41,-41.99
45,-36.92
49,-37.29
53,-39.95
57,-44.9
61,-53.9
65,-43.21
69,-46.6
73,-46.23
77,-45.36
81,-25.59
85,-35.55
89,-34.87
93,-32.28
97,-43.39
101,-42.91
105,-41.68
109,-3.58
113,-36.65
117,-30.72
121,-35.77
125,-47.17
129,-29.03
133,-56.17
137,-39.71
141,-31.81
145,-42.68
149,-36.39
153,-50.58
157,-49.47
161,-14.09
165,-20.4
169,-15.38
173,-55.36
177,-30.63
181,-65.8
185,-58.57
189,-41.79
193,-55.55
197,-53.44
201,-40.15
205,-44.47
209,-30.89
213,-36.32
217,-39.97
221,-46.89
225,-54.96
229,-50.93
233,-47.3
237,-45.2
241,-20.99
245,-41.77
249,-35.05
253,-45.9
257,-41.5
261,-39.45
265,-29.27
269,-29.9
273,-37.56
277,-43.81
281,-37.61
285,-45.29
289,-55.49
293,-51.01
297,-39.74
301,-31.89
305,-29.76
309,-48.3
313,-51.08
317,-35.98
321,-46.52
325,-39.8
329,-52.09
333,-45.92
337,-54.92
341,-40.3
345,-34.81
349,-46.51
353,-45.82
357,-45.88
361,-44.59
365,-47.93
369,-48.38
373,-52.42
377,-42.35
381,-39.87
385,-43.7
389,-40.76
393,-46.27
397,-39.26
401,-41.94
405,-45.7
409,-41.66
413,-33.43
417,-45.39
421,-38.32
425,-49.6
429,-60.65
433,-38.98
437,-26.42
441,-43.61
445,-33.89
449,-48.17
453,-41.52
457,-43.42
461,-50.9
465,-44.31
469,-46.75
473,-42.56
477,-42.1
481,-47.77
485,-46.69
489,-37.62
493,-40.83
497,-66.56
501,-58.57
505,-49.09
509,-50.26
513,-48.09
517,-48.95
521,-53.37
525,-50.59
529,-50.14
533,-37.61
537,-46.56
541,-49.18
545,-44.05
549,-41.9
553,-47.65
557,-7.16
561,-40.92
565,-36.28
569,-44.86
573,-38.59
577,-49.08
581,-44.59
585,-36.74
589,-46.25
593,-30.67
597,-36.1
601,-52.29
605,-44.48
609,-30.97
613,-47.62
617,-41.75
621,-36.95
625,-50.17
629,-42.49
633,-48.75
637,-39.02
641,-22.49
645,-49.04
649,-39.37
653,-57.2
657,-63.04
661,-60.61
665,-60.39
669,-65.0
673,-56.99
677,-53.75
681,-57.84
685,-63.9
689,-63.14
693,-55.66
697,-60.32
701,-56.13
705,-58.65
709,-56.66
713,-61.57
717,-63.11
721,-60.03
725,-58.49
729,-57.38
733,-43.73
737,-51.27
741,-62.35
745,-56.85
749,-63.21
753,-61.83
757,-64.78
761,-56.8
765,-58.15
769,-55.11
773,-45.91
777,-60.73
781,-60.34
785,-52.25
789,-54.68
793,-54.4
797,-41.5
801,-51.81
805,-65.76
809,-57.73
813,-63.41
817,-52.05
821,-58.64
825,-52.1
829,-51.64
833,-54.85
837,-63.13
841,-65.77
845,-65.96
849,-51.76
853,-59.79
857,-59.93
861,-56.81
865,-59.02
869,-57.71
873,-68.71
877,-57.94
881,-55.8
885,-57.18
889,-46.83
893,-54.07
897,-60.48
901,-54.57
905,-58.21
909,-56.79
913,-66.46
917,-58.25
921,-54.56
925,-60.28
929,-55.44
933,-49.01
937,-55.17
941,-49.25
945,-62.62
949,-66.44
953,-59.97
957,-48.62
961,-64.12
965,-61.7
969,-53.17
973,-59.5
977,-51.94
981,-60.89
985,-40.41
989,-56.43
993,-53.9
997,-56.02
1001,-58.31
