Frames,TOTAL
1,-33.56
5,-20.4
9,-10.72
13,-14.45
17,-28.87
21,-10.75
25,-22.73
29,-13.74
33,-13.81
37,-22.47
41,-25.57
45,-27.92
49,-28.55
53,-17.17
57,-24.51
61,-37.46
65,-22.74
69,-30.41
73,-30.54
77,-21.25
81,-30.73
85,-21.96
89,-28.46
93,-37.73
97,-24.88
101,-17.8
105,-21.02
109,-21.04
113,-10.43
117,-13.65
121,-15.83
125,-28.49
129,-21.57
133,-16.23
137,-15.53
141,-18.61
145,-26.95
149,-27.58
153,-15.8
157,-27.83
161,-26.49
165,-23.24
169,-29.34
173,-29.05
177,-25.55
181,-20.19
185,-24.92
189,-32.09
193,-15.03
197,-18.29
201,-27.83
205,-26.82
209,-21.68
213,-21.94
217,-11.17
221,-28.34
225,-13.29
229,-28.4
233,-28.09
237,-31.04
241,-20.44
245,-23.59
249,-27.79
253,-19.93
257,-17.08
261,-23.52
265,-15.25
269,-37.16
273,-22.31
277,-29.92
281,-14.5
285,-29.07
289,-23.52
293,-34.42
297,-19.97
301,-30.48
305,-11.46
309,-3.94
313,-11.03
317,-1.12
321,-21.39
325,-23.73
329,-21.97
333,-24.14
337,-26.75
341,-8.85
345,-30.93
349,-31.74
353,-28.6
357,-32.4
361,-23.14
365,-20.12
369,-26.56
373,-27.58
377,-25.54
381,-25.38
385,-37.55
389,-31.95
393,-40.29
397,-26.59
401,-28.07
405,-23.65
409,-30.65
413,-26.5
417,-25.64
421,-26.16
425,-37.06
429,-26.91
433,-21.94
437,-34.46
441,-33.3
445,-25.38
449,-19.53
453,-21.51
457,-29.59
461,-24.27
465,-30.03
469,-11.74
473,-21.47
477,-25.42
481,-24.41
485,-21.97
489,-23.62
493,-22.22
497,-15.37
501,-15.46
505,-31.29
509,-29.06
513,-24.38
517,-25.14
521,-31.34
525,-31.37
529,-19.37
533,-18.34
537,-35.45
541,-28.73
545,-34.13
549,-27.4
553,-20.27
557,-32.89
561,-27.67
565,-31.11
569,-23.55
573,-19.99
577,-21.51
581,-25.34
585,-19.1
589,-16.54
593,-30.07
597,-14.12
601,-15.82
605,-15.57
609,-12.83
613,-15.54
617,-25.91
621,-15.55
625,-23.47
629,-16.95
633,-17.0
637,-16.94
641,-18.3
645,-25.36
649,-25.36
653,-30.78
657,-33.71
661,-25.63
665,-37.82
669,-28.23
673,-31.12
677,-36.05
681,-24.06
685,-35.87
689,-30.38
693,-24.91
697,-23.22
701,-27.43
705,-25.49
709,-36.98
713,-30.16
717,-14.78
721,-21.36
725,-24.07
729,-25.09
733,-30.82
737,-30.83
741,-31.14
745,-27.29
749,-28.47
753,-22.54
757,-26.2
761,-23.78
765,-32.87
769,-25.78
773,-26.18
777,-25.03
781,-16.32
785,-27.98
789,-32.18
793,-29.69
797,-35.52
801,-32.24
805,-27.76
809,-17.29
813,-5.91
817,-17.73
821,-19.84
825,-33.85
829,-27.98
833,-32.05
837,-37.82
841,-24.28
845,-29.34
849,-33.91
853,-27.5
857,-25.21
861,-23.84
865,-27.44
869,-30.24
873,-30.84
877,-23.91
881,-30.45
885,-18.68
889,-32.89
893,-26.6
897,-23.69
901,-23.79
905,-34.53
909,-33.9
913,-34.01
917,-34.58
921,-22.62
925,-29.96
929,-34.31
933,-31.0
937,-32.41
941,-34.74
945,-23.02
949,-26.73
953,-29.19
957,-31.37
961,-30.53
965,-31.93
969,-31.2
973,-30.81
977,-34.27
981,-36.0
985,-18.01
989,-33.33
993,-34.9
997,-27.34
1001,-20.55
