Frames,TOTAL
1,-52.44
5,-60.91
9,-60.23
13,-59.71
17,-62.06
21,-62.82
25,-66.26
29,-65.27
33,-66.48
37,-60.85
41,-57.22
45,-66.3
49,-52.5
53,-57.37
57,-66.23
61,-54.6
65,-40.38
69,-43.15
73,-36.16
77,-44.0
81,-46.61
85,-47.64
89,-61.8
93,-65.8
97,-59.85
101,-63.91
105,-62.95
109,-56.15
113,-65.45
117,-44.62
121,-40.71
125,-41.94
129,-39.47
133,-41.55
137,-58.21
141,-61.71
145,-44.63
149,-60.21
153,-61.4
157,-55.97
161,-37.75
165,-43.68
169,-38.33
173,-50.72
177,-54.71
181,-23.61
185,-57.24
189,-51.8
193,-55.2
197,-50.35
201,-52.63
205,-52.92
209,-74.1
213,-62.68
217,-62.84
221,-68.16
225,-71.09
229,-63.49
233,-59.36
237,-56.83
241,-67.95
245,-51.14
249,-60.78
253,-62.96
257,-52.12
261,-56.67
265,-34.11
269,-60.84
273,-63.43
277,-70.82
281,-58.29
285,-63.73
289,-58.47
293,-68.27
297,-56.62
301,-63.09
305,-61.05
309,-68.06
313,-58.87
317,-38.68
321,-45.96
325,-34.87
329,-63.5
333,-59.82
337,-61.3
341,-63.2
345,-72.59
349,-62.22
353,-69.75
357,-60.98
361,-68.5
365,-60.91
369,-56.56
373,-65.67
377,-63.24
381,-61.83
385,-77.46
389,-68.44
393,-68.0
397,-60.69
401,-66.42
405,-57.85
409,-43.19
413,-69.36
417,-71.07
421,-66.13
425,-58.59
429,-64.76
433,-66.31
437,-71.52
441,-63.02
445,-67.28
449,-58.06
453,-67.1
457,-64.26
461,-63.98
465,-60.84
469,-45.75
473,-59.84
477,-72.71
481,-66.75
485,-61.06
489,-56.83
493,-68.09
497,-59.76
501,-55.62
505,-61.17
509,-62.07
513,-66.52
517,-48.63
521,-62.51
525,-68.51
529,-64.15
533,-70.32
537,-64.48
541,-62.39
545,-69.08
549,-57.06
553,-58.51
557,-64.83
561,-66.71
565,-67.81
569,-51.44
573,-65.58
577,-60.09
581,-72.65
585,-60.65
589,-57.11
593,-63.98
597,-69.37
601,-65.89
605,-66.97
609,-66.82
613,-65.83
617,-64.0
621,-71.01
625,-57.34
629,-60.49
633,-65.07
637,-65.11
641,-64.03
645,-69.91
649,-64.02
653,-67.01
657,-73.68
661,-61.75
665,-77.36
669,-64.4
673,-68.97
677,-67.47
681,-60.51
685,-67.75
689,-71.2
693,-66.42
697,-69.33
701,-70.57
705,-69.57
709,-62.71
713,-62.93
717,-63.43
721,-66.2
725,-62.7
729,-66.51
733,-61.82
737,-62.55
741,-66.71
745,-64.42
749,-66.97
753,-68.46
757,-62.89
761,-63.03
765,-63.22
769,-66.97
773,-66.81
777,-65.01
781,-64.19
785,-61.05
789,-69.74
793,-57.03
797,-63.54
801,-67.6
805,-69.83
809,-55.01
813,-63.37
817,-65.43
821,-67.73
825,-61.14
829,-67.32
833,-62.25
837,-58.65
841,-66.92
845,-54.31
849,-59.35
853,-50.22
857,-54.74
861,-62.02
865,-66.36
869,-61.31
873,-57.0
877,-56.09
881,-58.45
885,-65.02
889,-66.98
893,-68.55
897,-48.35
901,-59.91
905,-62.6
909,-58.44
913,-64.91
917,-59.01
921,-69.02
925,-63.18
929,-65.45
933,-65.81
937,-56.94
941,-70.01
945,-65.15
949,-68.67
953,-53.36
957,-59.69
961,-61.22
965,-70.08
969,-66.03
973,-66.26
977,-63.08
981,-75.83
985,-64.7
989,-71.83
993,-60.41
997,-62.03
1001,-67.61
