Frames,TOTAL
1,-23.69
5,-11.82
9,-4.27
13,-30.33
17,-21.76
21,-21.08
25,-30.7
29,-24.14
33,-39.84
37,-34.43
41,-44.51
45,-49.98
49,-47.59
53,-47.15
57,-41.29
61,-45.15
65,-45.94
69,-32.19
73,-34.71
77,-44.11
81,-40.84
85,-45.01
89,-47.17
93,-35.23
97,-43.39
101,-46.13
105,-52.81
109,-50.1
113,-49.41
117,-45.33
121,-43.03
125,-32.88
129,-44.82
133,-42.94
137,-36.65
141,-53.57
145,-48.86
149,-31.33
153,-28.71
157,-19.88
161,-31.59
165,-28.98
169,-16.44
173,-24.13
177,-29.06
181,-26.43
185,-27.4
189,-24.3
193,-28.06
197,-12.85
201,-22.05
205,-30.34
209,-23.89
213,-17.49
217,-21.19
221,-14.98
225,-18.86
229,-21.51
233,-40.06
237,-26.3
241,-29.94
245,-30.96
249,-41.32
253,-23.14
257,-27.38
261,-24.62
265,-25.05
269,-28.37
273,-31.63
277,-24.7
281,-37.94
285,-40.24
289,-40.71
293,-39.67
297,-25.87
301,-33.47
305,-32.59
309,-38.0
313,-40.9
317,-39.96
321,-46.37
325,-40.22
329,-18.25
333,-29.01
337,-41.4
341,-36.47
345,-53.34
349,-41.38
353,-45.41
357,-41.95
361,-43.09
365,-51.26
369,-46.04
373,-36.49
377,-34.14
381,-41.12
385,-37.73
389,-44.79
393,-45.88
397,-32.6
401,-41.51
405,-44.3
409,-44.03
413,-36.93
417,-35.93
421,-42.66
425,-47.56
429,-38.69
433,-47.48
437,-40.27
441,-38.58
445,-36.91
449,-39.82
453,-43.6
457,-46.09
461,-41.54
465,-41.56
469,-39.13
473,-33.31
477,-37.43
481,-30.13
485,-46.22
489,-46.78
493,-36.82
497,-49.52
501,-40.58
505,-45.97
509,-36.1
513,-49.14
517,-44.63
521,-41.62
525,-44.58
529,-52.71
533,-44.72
537,-48.53
541,-53.68
545,-36.23
549,-37.49
553,-32.39
557,-36.96
561,-51.03
565,-49.05
569,-46.39
573,-26.73
577,-38.19
581,-41.02
585,-46.97
589,-41.57
593,-47.9
597,-43.79
601,-41.38
605,-47.83
609,-48.49
613,-42.21
617,-43.16
621,-51.44
625,-49.54
629,-46.16
633,-41.91
637,-45.47
641,-37.51
645,-43.03
649,-41.39
653,-47.99
657,-49.01
661,-33.73
665,-15.44
669,-23.04
673,-35.31
677,-27.41
681,-33.43
685,-47.86
689,-43.99
693,-45.0
697,-30.22
701,-33.69
705,-42.26
709,-48.12
713,-33.98
717,-30.9
721,-28.31
725,-26.51
729,-29.63
733,-26.89
737,-25.68
741,-40.85
745,-38.12
749,-36.94
753,-32.54
757,-29.56
761,-48.23
765,-31.29
769,-32.44
773,-45.34
777,-36.18
781,-45.62
785,-49.29
789,-41.71
793,-43.88
797,-36.58
801,-33.3
805,-38.95
809,-37.33
813,-37.09
817,-36.99
821,-28.69
825,-33.05
829,-47.79
833,-27.85
837,-33.95
841,-30.94
845,-36.35
849,-43.6
853,-37.79
857,-46.94
861,-45.88
865,-34.54
869,-43.19
873,-32.97
877,-51.64
881,-41.05
885,-39.24
889,-37.98
893,-32.38
897,-41.77
901,-16.79
905,-46.84
909,-45.27
913,-38.29
917,-38.81
921,-30.37
925,-53.79
929,-22.23
933,-33.31
937,-48.15
941,-24.25
945,-19.87
949,-32.03
953,-25.64
957,-27.33
961,-24.1
965,-24.36
969,-38.68
973,-33.87
977,-22.96
981,-29.0
985,-22.11
989,-29.06
993,-27.82
997,-14.78
1001,-14.81
