Frames,TOTAL
1,-41.73
5,-61.01
9,-52.05
13,-41.97
17,-47.98
21,-48.26
25,-42.07
29,-50.84
33,-57.03
37,-43.65
41,-36.36
45,-23.84
49,-48.0
53,-40.38
57,-37.13
61,-53.37
65,-42.77
69,-45.84
73,-30.73
77,-50.15
81,-58.13
85,-57.45
89,-58.97
93,-56.28
97,-53.28
101,-56.51
105,-51.58
109,-54.37
113,-52.47
117,-33.52
121,-39.9
125,-48.53
129,-50.23
133,-56.29
137,-53.04
141,-51.45
145,-42.18
149,-47.08
153,-47.45
157,-48.78
161,-40.56
165,-48.19
169,-30.23
173,-49.81
177,-44.08
181,-39.69
185,-45.65
189,-52.0
193,-58.71
197,-61.29
201,-70.43
205,-51.38
209,-49.29
213,-59.34
217,-54.74
221,-61.69
225,-65.8
229,-59.37
233,-45.97
237,-41.1
241,-55.81
245,-55.83
249,-60.08
253,-48.76
257,-66.83
261,-63.16
265,-63.05
269,-45.9
273,-50.38
277,-51.55
281,-39.03
285,-46.32
289,-37.21
293,-41.8
297,-48.17
301,-48.47
305,-13.27
309,-38.07
313,-22.12
317,-46.09
321,-25.93
325,-34.88
329,-45.48
333,-43.27
337,-41.91
341,-53.63
345,-56.99
349,-56.59
353,-57.14
357,-44.61
361,-56.32
365,-31.55
369,-30.83
373,-26.84
377,-38.41
381,-45.14
385,-46.7
389,-48.8
393,-47.91
397,-51.09
401,-59.04
405,-52.48
409,-51.57
413,-51.25
417,-50.54
421,-54.8
425,-58.52
429,-49.08
433,-50.02
437,-58.97
441,-49.76
445,-58.94
449,-53.78
453,-43.08
457,-43.52
461,-51.65
465,-45.21
469,-52.2
473,-56.69
477,-51.56
481,-45.94
485,-51.95
489,-53.88
493,-52.33
497,-53.73
501,-60.56
505,-49.59
509,-50.75
513,-48.2
517,-13.42
521,-54.6
525,-57.67
529,-45.86
533,-51.15
537,-49.47
541,-41.31
545,-39.21
549,-31.62
553,-37.13
557,-32.52
561,-59.82
565,-50.89
569,-36.41
573,-53.95
577,-47.9
581,-50.56
585,-48.01
589,-47.63
593,-46.61
597,-55.71
601,-20.07
605,-53.41
609,-45.46
613,-54.01
617,-43.93
621,-44.4
625,-48.55
629,-34.72
633,-43.82
637,-51.64
641,-46.72
645,-45.87
649,-56.8
653,-47.62
657,-49.22
661,-46.76
665,-50.34
669,-46.21
673,-46.4
677,-46.97
681,-47.49
685,-56.2
689,-52.16
693,-50.93
697,-46.16
701,-37.88
705,-60.5
709,-48.22
713,-50.74
717,-54.64
721,-56.39
725,-54.18
729,-51.61
733,-47.36
737,-39.74
741,-45.7
745,-55.02
749,-50.14
753,-53.18
757,-46.19
761,-53.26
765,-52.69
769,-51.93
773,-51.43
777,-48.77
781,-54.09
785,-49.24
789,-53.54
793,-61.57
797,-56.06
801,-55.24
805,-51.83
809,-56.2
813,-47.63
817,-53.71
821,-48.47
825,-55.64
829,-46.49
833,-51.25
837,-51.74
841,-51.8
845,-61.12
849,-49.73
853,-38.67
857,-51.51
861,-46.59
865,-51.13
869,-47.07
873,-43.99
877,-47.44
881,-46.82
885,-49.87
889,-48.6
893,-40.52
897,-48.13
901,-51.71
905,-49.81
909,-49.61
913,-55.23
917,-48.23
921,-55.37
925,-52.14
929,-59.5
933,-45.13
937,-38.39
941,-50.0
945,-56.71
949,-59.84
953,-50.21
957,-56.34
961,-54.63
965,-61.9
969,-49.55
973,-57.05
977,-51.61
981,-47.34
985,-53.88
989,-50.83
993,-53.23
997,-59.87
1001,-59.0
